HT,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT,REB,AST,STL,BLK,TO,DD2,TD3
185,point-guard,39,20.8,8.0,2.9,6.7,42.9,1.7,4.5,37.5,0.6,0.7,75.9,3.2,3.0,0.4,0.1,0.6,0,0
185,point-guard,30,16.2,7.9,3.5,6.4,54.7,0.0,0.5,7.1,0.9,1.2,74.3,2.7,5.4,1.1,0.1,1.3,2,0
196,point-guard,26,20.0,7.6,3.3,6.9,48.0,0.7,2.1,33.3,0.3,0.4,72.7,1.8,4.0,0.9,0.0,1.8,1,0
196,point-guard,34,24.8,7.5,3.0,7.5,39.8,0.6,2.0,28.4,0.9,1.4,68.1,2.9,4.7,1.0,0.5,1.3,0,0
183,point-guard,24,17.4,7.3,2.6,6.3,41.1,1.4,3.5,39.3,0.8,1.2,62.1,2.3,2.0,1.0,0.4,0.8,0,0
,point-guard,23,19.6,7.2,2.8,6.7,41.9,0.5,1.9,27.3,1.0,1.3,82.8,3.3,4.2,1.0,0.2,1.0,3,0
191,point-guard,37,15.4,6.1,2.1,4.6,45.9,1.1,2.8,38.2,0.8,0.9,88.6,1.2,2.4,0.4,0.1,0.8,0,0
185,point-guard,39,14.6,5.4,2.1,5.7,36.2,1.3,3.7,34.3,0.1,0.1,60.0,0.7,1.2,0.5,0.3,0.6,0,0
188,point-guard,36,17.8,5.2,1.8,4.3,43.1,0.6,2.1,30.3,0.9,1.1,77.5,2.9,2.4,0.5,0.3,0.8,0,0
185,point-guard,35,14.0,4.8,1.7,4.1,41.7,0.8,2.4,34.9,0.5,0.7,79.2,1.9,2.2,0.5,0.2,1.0,0,0
188,point-guard,26,8.2,3.9,1.4,3.0,48.1,0.9,1.8,47.9,0.2,0.3,71.4,0.7,0.9,0.3,0.0,0.2,0,0
183,point-guard,30,16.9,3.7,1.8,3.8,46.1,0.1,0.2,33.3,0.1,0.1,100.0,1.7,3.2,0.3,0.1,1.3,0,0
188,point-guard,31,12.1,3.5,1.3,3.6,36.6,0.5,1.8,24.6,0.4,0.5,73.3,0.9,1.7,0.2,0.1,0.5,0,0
191,shooting-guard,28,35.9,27.9,9.6,21.1,45.7,3.1,9.0,34.9,5.4,6.2,87.9,5.5,5.7,1.9,0.5,2.8,4,0
198,shooting-guard,29,35.8,26.3,9.0,18.8,48.0,2.1,5.5,37.7,6.2,7.0,88.6,4.8,7.7,0.9,0.4,3.0,9,0
193,shooting-guard,35,34.6,25.8,8.9,19.4,46.0,2.5,6.5,38.3,5.5,6.5,84.2,5.3,4.9,1.3,0.6,3.4,4,0
196,shooting-guard,37,34.5,24.4,8.9,18.8,47.4,3.3,8.6,38.4,3.3,3.8,86.4,4.6,5.3,1.0,0.5,2.7,2,0
185,shooting-guard,25,35.7,23.9,8.6,18.5,46.2,2.8,7.7,37.0,4.0,4.6,86.8,3.7,6.8,1.2,0.4,2.1,3,0
198,shooting-guard,37,33.5,23.4,8.9,18.0,49.6,2.2,6.0,36.7,3.3,4.5,73.5,5.2,3.5,1.1,0.6,2.6,2,0
196,shooting-guard,38,34.6,21.1,8.1,17.2,46.9,2.4,6.1,39.1,2.5,3.1,82.1,4.6,4.9,1.4,0.3,2.1,3,0
193,shooting-guard,29,28.7,20.5,7.6,17.5,43.1,1.9,5.4,35.3,3.5,4.4,79.7,2.6,2.1,0.6,0.3,1.6,0,0
191,shooting-guard,26,32.3,19.4,6.9,14.9,46.4,3.5,7.9,44.4,2.1,2.7,78.3,4.2,5.1,1.3,0.8,1.6,1,0
198,shooting-guard,33,30.1,18.5,6.5,14.5,44.8,1.8,4.8,36.3,3.7,4.5,82.0,4.8,2.6,0.5,0.4,1.9,1,0
196,shooting-guard,33,30.5,18.0,6.6,14.4,46.0,2.5,6.9,36.8,2.3,2.8,81.5,3.4,3.2,1.3,0.2,1.3,0,0
198,shooting-guard,38,30.3,17.5,6.1,14.3,42.5,3.4,8.8,38.7,1.9,2.2,90.2,3.6,2.3,0.5,0.5,1.7,0,0
193,shooting-guard,38,30.4,17.4,5.8,14.4,40.0,2.2,6.4,34.3,3.6,4.5,80.2,4.6,3.2,0.6,0.3,2.1,0,0
,shooting-guard,36,28.1,17.3,6.2,14.4,42.7,3.2,8.7,36.9,1.7,1.9,89.9,3.3,2.7,1.4,0.2,1.0,0,0
196,shooting-guard,33,33.7,17.1,5.1,10.9,46.3,2.7,6.3,42.8,4.2,4.8,87.5,4.7,8.5,1.2,0.8,2.7,10,0
193,shooting-guard,37,29.0,16.9,6.1,14.6,41.7,2.0,6.4,31.6,2.7,3.2,85.6,2.4,3.7,1.0,0.3,2.4,0,0
198,shooting-guard,29,29.0,16.4,5.9,13.7,43.1,2.0,5.7,34.8,2.6,3.5,74.5,3.4,4.0,1.1,0.4,1.5,1,0
198,shooting-guard,32,33.1,15.9,5.5,13.6,40.6,1.9,5.6,33.3,3.1,3.7,82.4,5.0,2.9,0.9,0.4,2.3,1,0
191,shooting-guard,37,25.2,15.7,5.2,11.6,45.0,2.3,5.5,41.7,2.9,3.3,87.0,2.9,3.0,0.5,0.1,1.0,0,0
196,shooting-guard,40,30.0,15.2,5.2,10.7,48.7,1.6,4.5,34.4,3.2,3.6,86.9,4.3,5.1,0.9,0.1,2.2,4,0
191,shooting-guard,37,25.7,15.0,5.1,11.5,44.0,2.5,6.4,39.5,2.3,2.6,87.5,2.5,5.4,0.6,0.7,2.1,1,0
198,shooting-guard,38,25.6,14.7,5.2,11.0,47.0,1.3,3.5,38.1,3.1,3.7,82.9,3.8,2.0,0.6,0.2,1.6,2,0
198,shooting-guard,38,30.6,14.0,5.4,10.6,51.0,1.1,3.1,35.3,2.1,2.6,83.5,3.9,2.7,1.1,0.3,1.8,1,0
,shooting-guard,25,27.2,13.4,5.0,10.6,46.6,1.7,4.7,36.4,1.8,2.4,73.8,4.2,1.1,1.2,0.4,0.9,0,0
196,shooting-guard,37,33.8,13.4,4.8,11.9,40.1,2.8,8.0,34.5,1.1,1.3,79.6,4.9,3.8,0.9,0.5,1.7,3,0
191,shooting-guard,38,25.6,13.3,4.6,9.3,49.6,2.0,4.4,44.9,2.1,2.3,89.9,2.4,1.0,0.6,0.3,0.9,0,0
191,shooting-guard,32,31.0,13.3,4.9,10.8,45.4,2.6,6.7,39.3,0.8,1.1,76.5,2.1,2.3,0.9,0.5,1.3,0,0
193,shooting-guard,33,33.3,13.2,4.5,9.1,49.5,2.5,5.5,46.2,1.6,1.8,90.0,4.2,2.8,0.9,0.6,1.4,1,0
196,shooting-guard,35,26.7,13.2,4.7,10.2,46.1,2.1,5.2,39.3,1.7,2.2,76.9,3.3,2.4,1.4,0.7,2.0,0,0
193,shooting-guard,38,25.6,12.6,4.6,10.6,43.7,2.8,7.3,38.1,0.6,0.7,84.0,3.2,2.5,0.7,0.7,1.4,0,0
191,shooting-guard,29,27.8,12.0,4.4,12.1,36.5,1.2,4.0,29.3,2.0,2.8,72.0,3.0,4.9,0.6,0.2,3.3,4,0
203,shooting-guard,37,25.1,12.0,4.9,10.7,46.0,1.0,2.7,36.4,1.2,1.4,81.1,6.2,4.7,0.8,0.5,2.3,4,1
188,shooting-guard,33,29.1,11.8,3.9,9.9,39.3,2.1,5.8,36.3,1.9,2.3,82.7,4.0,3.2,1.6,0.5,1.2,0,0
193,shooting-guard,37,29.0,11.6,4.2,8.6,49.2,3.0,6.2,47.8,0.2,0.3,66.7,4.1,1.3,0.8,0.1,0.6,1,0
198,shooting-guard,32,19.6,11.5,3.4,9.0,38.2,2.0,5.3,38.0,2.6,2.9,88.2,2.3,1.3,0.4,0.3,0.7,0,0
,shooting-guard,35,25.7,11.3,4.1,10.1,41.0,2.2,5.5,39.8,0.8,1.2,65.1,2.2,1.6,0.8,0.1,0.6,1,0
191,shooting-guard,37,28.5,11.1,3.7,8.1,46.0,1.8,4.4,41.7,1.8,2.2,81.9,3.9,1.4,0.8,0.8,0.9,0,0
193,shooting-guard,35,25.0,11.1,3.5,9.4,37.0,1.7,5.3,32.3,2.4,2.9,80.6,3.0,4.5,0.5,0.1,2.1,0,0
193,shooting-guard,39,21.8,11.1,3.8,8.3,46.3,2.6,6.0,43.4,0.8,1.1,75.6,3.1,2.1,1.2,0.3,1.1,0,0
193,shooting-guard,30,22.0,11.0,4.1,10.0,41.1,1.2,3.7,33.3,1.6,2.0,78.7,2.5,4.2,1.1,0.4,1.7,1,0
